Player Deaths,Enemies Defeated,Total Combat Time,Potions Used,Waypoints Discovered,Zones Discovered,Quests Completed,NPC Interactions,Achievements Unlocked,Current Difficulty Multiplier,Current Dynamic Player Type
3,100,4909,26,7,7,11,3,6,10.0,Killer
12,197,915,7,17,1,3,14,6,10.0,Killer
7,163,650,2,3,7,8,21,4,10.0,Killer
13,53,2552,11,5,6,15,22,3,1.0,Socializer
3,162,2381,0,7,4,1,27,5,10.0,Killer
2,21,4203,37,16,9,9,11,7,3.2499999999999996,Killer
12,76,646,27,18,1,8,10,7,1.0,Killer
5,191,2258,21,2,7,7,21,1,10.0,Killer
6,185,3456,7,16,7,7,42,8,10.0,Socializer
3,55,381,33,1,3,8,5,0,5.85,Killer
12,158,4822,2,19,6,16,42,8,8.700000000000001,Socializer
12,66,2868,10,6,5,9,1,8,1.0,Killer
14,146,1419,41,7,3,7,5,4,3.5499999999999994,Killer
10,71,4021,28,14,7,19,47,9,1.0,Socializer
2,174,4183,7,1,2,8,26,0,10.0,Killer
10,59,1395,32,10,7,19,6,0,1.0,Killer
12,100,644,11,3,4,6,27,1,2.45,Socializer
13,180,593,22,3,8,2,13,1,8.9,Killer
10,109,49,7,4,1,1,42,1,5.550000000000001,Socializer
3,153,4320,16,14,9,10,2,9,10.0,Killer
12,124,3861,10,9,0,8,29,4,4.9,Socializer
14,43,3294,14,1,9,0,19,6,1.0,Socializer
1,43,478,16,16,1,16,23,5,7.500000000000001,Socializer
11,37,581,10,0,0,5,27,2,1.0,Socializer
6,34,4098,13,1,6,6,31,3,1.75,Socializer
4,88,92,20,7,0,1,3,8,8.8,Killer
10,135,2238,39,14,4,10,48,5,6.55,Socializer
5,130,1502,1,10,4,6,2,2,10.0,Killer
3,2,4578,14,6,1,6,21,4,1.5,Socializer
12,26,4859,31,9,4,0,49,9,1.0,Socializer
10,165,1789,15,7,6,14,3,4,10.0,Killer
13,90,4562,29,3,4,14,1,4,1.0,Killer
2,53,72,9,10,6,10,13,1,7.8500000000000005,Socializer
11,126,1596,49,12,8,16,38,6,4.1499999999999995,Socializer
3,169,1040,39,15,5,10,18,1,10.0,Killer
0,36,3353,29,14,4,0,29,1,7.1499999999999995,Socializer
8,16,3673,47,16,3,18,22,1,1.0,Socializer
12,54,1894,27,9,9,3,26,1,1.0,Socializer
2,166,580,8,13,6,11,25,9,10.0,Killer
11,40,3093,35,5,3,9,8,2,1.0,Killer
7,117,3943,4,4,9,0,32,3,9.5,Socializer
0,5,728,39,15,9,9,46,5,3.55,Socializer
1,148,1815,45,17,0,5,17,8,10.0,Killer
0,33,2452,32,19,6,18,38,9,6.700000000000001,Socializer
10,10,4331,8,15,5,15,24,5,1.0,Socializer
5,59,889,26,1,2,19,34,6,4.6000000000000005,Socializer
5,38,1698,8,13,7,6,30,1,3.4,Socializer
7,169,1631,35,0,6,17,1,5,10.0,Killer
12,178,2563,2,8,8,4,31,1,10.0,Killer
14,3,3283,11,1,9,3,46,3,1.0,Socializer
1,35,1432,1,14,3,12,41,3,7.45,Socializer
4,179,2619,15,3,5,19,2,0,10.0,Killer
7,66,3405,16,4,6,10,32,0,3.8,Socializer
